gene,mean_expression,variance
Bc1,6.6107655,0.4355773
mt-Co3,6.337161,0.06317602
mt-Atp6,6.1704607,0.06953866
mt-Co1,6.165442,0.07489901
mt-Co2,5.9376225,0.09125814
mt-Cytb,5.6808925,0.057211045
mt-Nd4,5.6019483,0.08162819
mt-Nd1,5.3561163,0.08193434
mt-Nd2,5.2958565,0.09286589
Fth1,4.5900865,0.3424677
mt-Nd3,4.2389936,0.10035718
Cst3,4.1302385,0.1380574
Rpl41,3.9731328,0.05035834
Gapdh,3.862573,0.061088655
Rps21,3.8542066,0.06072956
Rplp1,3.8018527,0.057186034
Mbp,3.7511055,1.4995968
Tmsb4x,3.6985798,0.20289429
Rps29,3.6632905,0.098922215
Rpl37,3.6572607,0.069604166
