gene,mean_expression,variance
Plp1,3.138838,1.9849842
Ttr,2.4363024,1.7591871
Nrgn,2.710223,1.5830368
Mbp,3.7511055,1.4995968
Mobp,2.2403557,1.449307
Hbb-bs,1.4203987,1.3692939
Cck,2.1624181,1.2492334
Trf,1.674146,1.2035099
Slc17a7,1.793754,1.1944654
Hba-a1,0.92595977,1.1623715
Mal,1.5000936,1.140015
Ptgds,2.5270667,1.0875846
Cldn11,1.4193038,1.0761696
Ddn,1.5219986,1.055405
Mag,1.3136507,1.0393379
Apod,1.3256125,1.0345974
Hba-a2,0.8169746,1.03021
Nnat,1.5529654,1.0115333
Cnp,1.7523174,1.0021411
Sst,1.2223618,0.97780037
