gene,mean_expression,variance
mt-Co3,5.974608,0.07889715
mt-Co1,5.9156485,0.09995492
mt-Atp6,5.7993875,0.08234166
mt-Cytb,5.4533114,0.07703471
mt-Co2,5.421077,0.14843498
mt-Nd4,5.1576796,0.12772049
mt-Nd1,4.9124117,0.104753196
mt-Nd2,4.822443,0.14300422
Fth1,4.6941853,0.28845006
Bc1,4.6297584,0.48827988
Gapdh,4.1888146,0.05042608
Ppia,3.8403158,0.04230952
Cst3,3.8305914,0.14754908
Tmsb4x,3.82126,0.1898884
Rpl41,3.7719238,0.070552655
Ubb,3.7129967,0.066006586
Cpe,3.6614845,0.1075972
Rplp1,3.6353524,0.06999915
Mbp,3.6292212,1.3183625
Eef1a1,3.5557144,0.0838371
