gene,mean_expression,variance
Ttr,3.0504901,2.1319237
Plp1,2.754022,1.5860652
Mobp,2.242532,1.3972915
Nrgn,2.7083719,1.3628957
Mbp,3.6292212,1.3183625
Slc17a7,2.0093815,1.1990985
Apod,1.5371583,1.0682732
Cck,2.275406,1.0484778
Trf,1.5813383,1.0049952
Enpp2,1.4650387,0.9956905
Mal,1.4932115,0.9910792
Ddn,1.5790232,0.9765834
Sparc,1.9417024,0.97448516
Hpca,1.5919614,0.9556891
Ptgds,3.2473261,0.95129704
Nptxr,1.7809376,0.931028
Sst,1.4054319,0.90109324
Mag,1.2507447,0.90095544
Cldn11,1.2291472,0.89624745
Cnp,1.736047,0.88670224
